gold_std_association_type	pubmed_id	num_sentence	subject_text	subject_start	subject_end	subject_type	object_text	object_start	object_end	object_type	original_sentence	formatted_sentence	form_subject	form_object
positive	17167348	11	spinal cord infarction	43	65	disease	cocaine	19	26	drug	Although uncommon, cocaine abuse can cause spinal cord infarction.	"<div class=""formatted_sentence"">Although uncommon, <span class=""object_text"">cocaine</span> abuse can cause <span class=""subject_text"">spinal cord infarction</span>.</div>"	"&quot;<span class=""form_subject"">spinal cord infarction</span>&quot;"	"&quot;<span class=""form_object"">cocaine</span>&quot;"
positive	18512713	8	melanoma	206	214	disease	methotrexate	59	71	drug	There was an estimated 50% excess risk of malignancy among methotrexate-exposed RA patients relative to the general population (SIR 1.5, 95% confidence interval [95% CI] 1.2-1.9), with a 3-fold increase in melanoma (SIR 3.0, 95% CI 1.2-6.2), a 5-fold increase in non-Hodgkin's lymphoma (SIR 5.1, 95% CI 2.2-10.0), and an almost 3-fold increase in lung cancer (SIR 2.9, 95% CI 1.6-4.8).	"<div class=""formatted_sentence"">There was an estimated 50% excess risk of malignancy among <span class=""object_text"">methotrexate</span>-exposed RA patients relative to the general population (SIR 1.5, 95% confidence interval [95% CI] 1.2-1.9), with a 3-fold increase in <span class=""subject_text"">melanoma</span> (SIR 3.0, 95% CI 1.2-6.2), a 5-fold increase in non-Hodgkin's lymphoma (SIR 5.1, 95% CI 2.2-10.0), and an almost 3-fold increase in lung cancer (SIR 2.9, 95% CI 1.6-4.8).</div>"	"&quot;<span class=""form_subject"">melanoma</span>&quot;"	"&quot;<span class=""form_object"">methotrexate</span>&quot;"
false	18058121	1	spontaneous abortions	97	118	disease	radioisotopes of metals and halogen elements	12	56	drug	Exposure to radioisotopes of metals and halogen elements occurring in medical practice may cause spontaneous abortions.	"<div class=""formatted_sentence"">Exposure to <span class=""object_text"">radioisotopes of metals and halogen elements</span> occurring in medical practice may cause <span class=""subject_text"">spontaneous abortions</span>.</div>"	"&quot;<span class=""form_subject"">spontaneous abortions</span>&quot;"	"&quot;<span class=""form_object"">radioisotopes of metals and halogen elements</span>&quot;"
false	17634547	13	tumor	87	92	disease	tibolone	31	39	drug	In ER+ breast tumors, 2.5 mg/d tibolone given for 14 days has no significant effect on tumor cell proliferation.	"<div class=""formatted_sentence"">In ER+ breast tumors, 2.5 mg/d <span class=""object_text"">tibolone</span> given for 14 days has no significant effect on <span class=""subject_text"">tumor</span> cell proliferation.</div>"	"&quot;<span class=""form_subject"">tumor</span>&quot;"	"&quot;<span class=""form_object"">tibolone</span>&quot;"
false	17894421	1	orofacial clefts	156	172	disease	Benzodiazepines	12	27	drug	Exposure to Benzodiazepines (BZD) during foetal life has been suggested to contribute to neonatal morbidity and some congenital malformations, for example, orofacial clefts.	"<div class=""formatted_sentence"">Exposure to <span class=""object_text"">Benzodiazepines</span> (BZD) during foetal life has been suggested to contribute to neonatal morbidity and some congenital malformations, for example, <span class=""subject_text"">orofacial clefts</span>.</div>"	"&quot;<span class=""form_subject"">orofacial clefts</span>&quot;"	"&quot;<span class=""form_object"">Benzodiazepines</span>&quot;"
positive	18713156	7	migraine headache	97	114	disease	topiramate	43	53	drug	This study demonstrated that both low-dose topiramate and propranolol could significantly reduce migraine headache frequency, intensity, and duration.	"<div class=""formatted_sentence"">This study demonstrated that both low-dose <span class=""object_text"">topiramate</span> and propranolol could significantly reduce <span class=""subject_text"">migraine headache</span> frequency, intensity, and duration.</div>"	"&quot;<span class=""form_subject"">migraine headache</span>&quot;"	"&quot;<span class=""form_object"">topiramate</span>&quot;"
false	17340045	9	noninfectious granulomatous syndromes	37	74	disease	etanercept	97	107	drug	Recently, there have been reports of noninfectious granulomatous syndromes in patients receiving etanercept for a variety of diseases.	"<div class=""formatted_sentence"">Recently, there have been reports of <span class=""subject_text"">noninfectious granulomatous syndromes</span> in patients receiving <span class=""object_text"">etanercept</span> for a variety of diseases.</div>"	"&quot;<span class=""form_subject"">noninfectious granulomatous syndromes</span>&quot;"	"&quot;<span class=""form_object"">etanercept</span>&quot;"
speculative	18452197	9	ulcerative colitis	214	232	disease	low-dose 5-ASA	24	38	drug	These data suggest that low-dose 5-ASA may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of colonic neoplasms in patients with ulcerative colitis.	"<div class=""formatted_sentence"">These data suggest that <span class=""object_text"">low-dose 5-ASA</span> may be efficacious in preventing colitis-associated dysplasias and provide strong support for optimizing this therapy for the prevention of colonic neoplasms in patients with <span class=""subject_text"">ulcerative colitis</span>.</div>"	"&quot;<span class=""form_subject"">ulcerative colitis</span>&quot;"	"&quot;<span class=""form_object"">low-dose 5-ASA</span>&quot;"
false	18371953	4	glioma	138	144	disease	indomethacin-loaded nanocapsules	53	85	drug	The aim of this study was to evaluate the effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules on glioma cell lines.	"<div class=""formatted_sentence"">The aim of this study was to evaluate the effects of <span class=""object_text"">indomethacin-loaded nanocapsules</span> and indomethacin ethyl ester-loaded nanocapsules on <span class=""subject_text"">glioma</span> cell lines.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin-loaded nanocapsules</span>&quot;"
speculative	17340045	1	sarcoidosis	55	66	disease	etanercept	87	97	drug	We report two rheumatoid arthritis patients developing sarcoidosis possibly induced by etanercept.	"<div class=""formatted_sentence"">We report two rheumatoid arthritis patients developing <span class=""subject_text"">sarcoidosis</span> possibly induced by <span class=""object_text"">etanercept</span>.</div>"	"&quot;<span class=""form_subject"">sarcoidosis</span>&quot;"	"&quot;<span class=""form_object"">etanercept</span>&quot;"
false	18042885	0	Cardiovascular thromboembolic adverse effects	0	45	disease	cyclooxygenase	62	76	drug	Cardiovascular thromboembolic adverse effects associated with cyclooxygenase-2 selective inhibitors and nonselective antiinflammatory drugs.	"<div class=""formatted_sentence""><span class=""subject_text"">Cardiovascular thromboembolic adverse effects</span> associated with <span class=""object_text"">cyclooxygenase</span>-2 selective inhibitors and nonselective antiinflammatory drugs.</div>"	"&quot;<span class=""form_subject"">Cardiovascular thromboembolic adverse effects</span>&quot;"	"&quot;<span class=""form_object"">cyclooxygenase</span>&quot;"
positive	17697016	8	anaemia	47	54	disease	Zidovudine	0	10	drug	Zidovudine discontinuation could help to avoid anaemia associated with anti-HCV therapy.	"<div class=""formatted_sentence""><span class=""object_text"">Zidovudine</span> discontinuation could help to avoid <span class=""subject_text"">anaemia</span> associated with anti-HCV therapy.</div>"	"&quot;<span class=""form_subject"">anaemia</span>&quot;"	"&quot;<span class=""form_object"">Zidovudine</span>&quot;"
positive	18371953	7	glioma	193	199	disease	solution of indomethacin	114	138	drug	The main finding of the present study is that indomethacin-loaded nanocapsules formulation was more potent than a solution of indomethacin in decreasing the viability and cell proliferation of glioma lines.	"<div class=""formatted_sentence"">The main finding of the present study is that indomethacin-loaded nanocapsules formulation was more potent than a <span class=""object_text"">solution of indomethacin</span> in decreasing the viability and cell proliferation of <span class=""subject_text"">glioma</span> lines.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">solution of indomethacin</span>&quot;"
positive	18975369	6	gout flares	73	84	disease	allopurinol	137	148	drug	The primary reasons for withdrawal were similar across groups except for gout flares, which were more frequent with febuxostat than with allopurinol.	"<div class=""formatted_sentence"">The primary reasons for withdrawal were similar across groups except for <span class=""subject_text"">gout flares</span>, which were more frequent with febuxostat than with <span class=""object_text"">allopurinol</span>.</div>"	"&quot;<span class=""form_subject"">gout flares</span>&quot;"	"&quot;<span class=""form_object"">allopurinol</span>&quot;"
positive	18713852	12	headache	80	88	disease	posaconazole	59	71	drug	The most common adverse effects associated with the use of posaconazole include headache, fever, nausea, vomiting, and diarrhea.	"<div class=""formatted_sentence"">The most common adverse effects associated with the use of <span class=""object_text"">posaconazole</span> include <span class=""subject_text"">headache</span>, fever, nausea, vomiting, and diarrhea.</div>"	"&quot;<span class=""form_subject"">headache</span>&quot;"	"&quot;<span class=""form_object"">posaconazole</span>&quot;"
false	18586644	8	infections	171	181	disease	NaFe-EDTA	67	76	drug	No significant differences were observed between FeSO4+citrate and NaFe-EDTA fortification, regarding mitigation of iron-deficiency anemia (IDA) or regarding CRP, growth, infections, or side-effects.	"<div class=""formatted_sentence"">No significant differences were observed between FeSO4+citrate and <span class=""object_text"">NaFe-EDTA</span> fortification, regarding mitigation of iron-deficiency anemia (IDA) or regarding CRP, growth, <span class=""subject_text"">infections</span>, or side-effects.</div>"	"&quot;<span class=""form_subject"">infections</span>&quot;"	"&quot;<span class=""form_object"">NaFe-EDTA</span>&quot;"
positive	18434457	12	pain	114	118	disease	intravenous meperidine	129	151	drug	Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam.	"<div class=""formatted_sentence"">Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same <span class=""subject_text"">pain</span> relief as <span class=""object_text"">intravenous meperidine</span> and diazepam.</div>"	"&quot;<span class=""form_subject"">pain</span>&quot;"	"&quot;<span class=""form_object"">intravenous meperidine</span>&quot;"
false	18586644	8	iron-deficiency anemia	116	138	disease	FeSO4	49	54	drug	No significant differences were observed between FeSO4+citrate and NaFe-EDTA fortification, regarding mitigation of iron-deficiency anemia (IDA) or regarding CRP, growth, infections, or side-effects.	"<div class=""formatted_sentence"">No significant differences were observed between <span class=""object_text"">FeSO4</span>+citrate and NaFe-EDTA fortification, regarding mitigation of <span class=""subject_text"">iron-deficiency anemia</span> (IDA) or regarding CRP, growth, infections, or side-effects.</div>"	"&quot;<span class=""form_subject"">iron-deficiency anemia</span>&quot;"	"&quot;<span class=""form_object"">FeSO4</span>&quot;"
positive	19100448	12	severe diarrhea	191	206	disease	MMF	214	217	drug	We concluded that conversion to SRL in pancreas transplantation should be considered an important alternative strategy, particularly for CNI nephrotoxicity and neurotoxicity, and in cases of severe diarrhea due to MMF.	"<div class=""formatted_sentence"">We concluded that conversion to SRL in pancreas transplantation should be considered an important alternative strategy, particularly for CNI nephrotoxicity and neurotoxicity, and in cases of <span class=""subject_text"">severe diarrhea</span> due to <span class=""object_text"">MMF</span>.</div>"	"&quot;<span class=""form_subject"">severe diarrhea</span>&quot;"	"&quot;<span class=""form_object"">MMF</span>&quot;"
positive	17945482	8	lung cancer	213	224	disease	sutent	88	94	drug	Finally, in non-small cell lung cancer (NSCLC) in patients' progressing on chemotherapy sutent was able to achieve a 10% response rate, a level of activity similar to those documented by other agents approved for lung cancer.	"<div class=""formatted_sentence"">Finally, in non-small cell lung cancer (NSCLC) in patients' progressing on chemotherapy <span class=""object_text"">sutent</span> was able to achieve a 10% response rate, a level of activity similar to those documented by other agents approved for <span class=""subject_text"">lung cancer</span>.</div>"	"&quot;<span class=""form_subject"">lung cancer</span>&quot;"	"&quot;<span class=""form_object"">sutent</span>&quot;"
false	18300089	7	ocular inflammation	155	174	disease	alkylating agents	48	65	drug	Past use of antimetabolites, T-cell inhibitors, alkylating agents, and other immunosuppressives is ascertained from medical records of approximately 9,250 ocular inflammation patients at five tertiary centers over up to 30 years.	"<div class=""formatted_sentence"">Past use of antimetabolites, T-cell inhibitors, <span class=""object_text"">alkylating agents</span>, and other immunosuppressives is ascertained from medical records of approximately 9,250 <span class=""subject_text"">ocular inflammation</span> patients at five tertiary centers over up to 30 years.</div>"	"&quot;<span class=""form_subject"">ocular inflammation</span>&quot;"	"&quot;<span class=""form_object"">alkylating agents</span>&quot;"
false	18300089	11	ocular inflammation	103	122	disease	immunosuppressive drugs	75	98	drug	Information from the SITE Cohort Study should clarify whether use of these immunosuppressive drugs for ocular inflammation increases the risk of mortality and fatal cancer.	"<div class=""formatted_sentence"">Information from the SITE Cohort Study should clarify whether use of these <span class=""object_text"">immunosuppressive drugs</span> for <span class=""subject_text"">ocular inflammation</span> increases the risk of mortality and fatal cancer.</div>"	"&quot;<span class=""form_subject"">ocular inflammation</span>&quot;"	"&quot;<span class=""form_object"">immunosuppressive drugs</span>&quot;"
positive	18953065	12	leukoencephalopathy	115	134	disease	CCNU	55	59	drug	The combination of high-dose MTX with procarbazine and CCNU is feasible and effective and results in a low rate of leukoencephalopathy.	"<div class=""formatted_sentence"">The combination of high-dose MTX with procarbazine and <span class=""object_text"">CCNU</span> is feasible and effective and results in a low rate of <span class=""subject_text"">leukoencephalopathy</span>.</div>"	"&quot;<span class=""form_subject"">leukoencephalopathy</span>&quot;"	"&quot;<span class=""form_object"">CCNU</span>&quot;"
