unit_id	subject_text	object_text	sentence	toby_association_type	toby_deep_semantics
692182020	NF kappaB -94ATTG	CD	The NF kappaB -94ATTG variants was found to be irrelevant for CD.	NA	
692104329	motion sickness	alfentanil	The frequency of PONV did not correlate to the amounts of alfentanil, propofol, postoperative antiemetics consumed, or to female gender, non-smoking status, and history of PONV or motion sickness.	FA	
692104330	iron-deficiency anemia	NaFe-EDTA	No significant differences were observed between FeSO4+citrate and NaFe-EDTA fortification, regarding mitigation of iron-deficiency anemia (IDA) or regarding CRP, growth, infections, or side-effects.	PA	used_to_treat
692104332	glioma	indomethacin ethyl ester-loaded nanocapsules	The aim of this study was to evaluate the effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules on glioma cell lines.	PA	used_to_treat
692104333	coronary heart disease	amlodipine	Compared with both diuretics and contemporary agents, amlodipine decreases cardiovascular events to a similar or greater extent without evidence for increased coronary heart disease, gastrointestinal bleeding or cancer.	NA	
692104334	GVHD	oral beclomethasone dipropionate	We tested the hypothesis that oral beclomethasone dipropionate (BDP) would control gastrointestinal graft-versus-host disease (GVHD) in patients with anorexia, vomiting, and diarrhea.	SA	used_to_treat
692104335	PTCL	vincristine	Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with PTCL received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, vincristine and prednisone alternating with three courses of etoposide, cisplatin, cytarabine and prednisone.	PA	used_to_treat
692104336	invasive fungal infections	itraconazole	Similarly, the same regimen of posaconazole reduced invasive fungal infections (95% CI -9.7 to -2.5) and aspergillosis (CI not reported, p < 0.001) when compared with fluconazole and itraconazole in neutropenic patients.	PA	used_to_treat
692104338	p53/56 Lyn	dasatinib	In contrast, dasatinib, a dual Bcr-Abl and Src kinase inhibitor, inhibited the phosphorylation of both BCR-ABL and Lyn, and induced apoptosis of the Bcr-Abl cell line overexpressing p53/56 Lyn.	PA	inhibition
692104339	CXCR4	IFN-alpha	In KBM5 and K562 cells, imatinib, INNO-406, or IFN-alpha increased CXCR4 expression and migration.	PA	activation
692104342	TNF	Adalimumab	Adalimumab is a subcutaneously administered, recombinant, human IgG1 monoclonal antibody specific for human tumor necrosis factor (TNF).	PA	no_further_info
692104343	P2X7 receptors	[3H]A-804598	The pharmacological profile for P2X antagonists to inhibit [3H]A-804598 binding correlated with their ability to block functional activation of P2X7 receptors (r=0.95, P<0.05).	FA	
692104344	ERK	paeonol	The inhibitory effect of paeonol on ICAM-1 production might be mediated by inhibiting p38, ERK and NF-kappaB signaling pathways, which are involved in TNF-alpha-induced ICAM-1 production.	PA	inhibition
692104345	Top2beta	dexrazoxane	Together, our results suggest that dexrazoxane antagonizes doxorubicin-induced DNA damage through its interference with Top2beta, which could implicate Top2beta in doxorubicin cardiotoxicity.	PA	other
692104346	IFN-gamma	P2281	In vitro and in vivo assays of proinflammatory cytokine production revealed that P2281 diminishes induced IFN-gamma production but not TNF-alpha production, indicating preferential inhibitory effects of P2281 on T cell function.	PA	inhibition
692104347	inflammatory cytokines	LYR-71	Taken together, LYR-71 was an efficient inhibitor of IKKbeta, preventing NF-kappaB activation in macrophages, and this mechanism of action could contribute its down-regulatory effect on LPS-induced expression of inflammatory cytokines at the transcription level.	PA	inhibition
692104348	K65R mutation	tenofovir	Assessment of 1177 human immunodeficiency virus (HIV) resistance genotypes at an HIV/AIDS clinic showed a decrease in the incidence of the K65R mutation, from 15.2% of isolates during the period 2002-2004 to 2.7% of isolates during the period 2005-2006 (P < .001), despite elevated and stable rates of tenofovir use.	NA	
692104349	FLT3/WT	lestaurtinib	FLT3/TKD+ cells showed a similar response to lestaurtinib as FLT3/WT cells, whereas FLT3/ITD+ cells were more sensitive (P = 0.004).	PA	no_further_info
692104351	FLT3/TKD	cytarabine	All three groups showed similar sensitivity to the cytotoxic effects of cytarabine but FLT3/ITD mutant level was inversely correlated with cytarabine cytotoxicity (P = 0.04) whereas FLT3/TKD mutant level had no impact.	PA	other
692104352	FLT3/TKD+	FLT3 inhibitors	These results suggest that FLT3/TKD+ and FLT3/WT cases should not be differentiated when considering patients for treatment with FLT3 inhibitors.	PA	no_further_info
692104353	FLT3/TKD+	lestaurtinib	There was no correlation between mutant level and lestaurtinib sensitivity for either FLT3/ITD+ or FLT3/TKD+ cells.	NA	
